name,lon,lat
Stenenbrug,4.4443596,51.214409
Hove Buizegemlei,4.4632156,51.1520549
Leuven Jan Stasstraat,4.7078507,50.8799788
Leuven Jan Stasstraat,4.7084551,50.8801909
Leuven Dirk Boutslaan,4.6987209,50.8807049
Leuven Sint-Rafaelkliniek,4.6923804,50.8792664
Leuven Sint-Rafaelkliniek,4.6923191,50.8793514
Leuven Sint-Jacobsplein,4.6910938,50.8792987
Leuven Sint-Jacobsplein,4.6905384,50.8792997
Herent Diependaal,4.6708235,50.8860241
Winksele IJzerenberg,4.6459752,50.8913311
Winksele Schoonzicht,4.6378788,50.8932814
Veltem-Beisem Veltem Steenweg,4.6252658,50.8959277
Erps-Kwerps Schoonaarde,4.5899438,50.8934694
Erps-Kwerps Erpsveld,4.5714042,50.8915765
Erps-Kwerps Prinsendreef,4.5588406,50.8902941
Kortenberg UPC Campus Kortenberg,4.55231,50.8896
Kortenberg Rijkswacht,4.5449787,50.8885585
Kortenberg Kapelleke,4.5326349,50.885093
Nossegem Guldendelle,4.5146393,50.8802277
Holsbeek Asseltveld,4.7593942,50.9202318
Holsbeek Asseltveld,4.7593879,50.9201396
Holsbeek Sportschuur,4.7571109,50.9213864
Korbeek-Lo Oaselaan,4.743651,50.8635245
Korbeek-Lo Oaselaan,4.7434799,50.8636473
Bierbeek De Borre,4.7548322,50.8270065
Leuven De Mol,4.7409154,50.8674563
Pellenberg Lange Lostraat,4.7632955,50.875922
Kessel-Lo Hulsberg,4.7192558,50.906999
Kessel-Lo Hulsberg,4.7191323,50.9073236
Kessel-Lo Kesseldallaan,4.7218717,50.9047851
Kessel-Lo Kesseldallaan,4.7222005,50.9043783
Kessel-Lo Kesselbergplein,4.7168748,50.8987844
Kessel-Lo Domeinstraat,4.7241097,50.9001761
Kessel-Lo Domeinstraat,4.7243505,50.9002334
Kessel-Lo Genadedal,4.7272954,50.8994513
Kessel-Lo Pie De Nijper,4.7317443,50.8974155
Kessel-Lo Pie De Nijper,4.7318553,50.8973827
Kessel-Lo Provinciaal Recreatiecentrum,4.7306394,50.8939964
Kessel-Lo Leopold Ruelensstraat,4.7273653,50.8898531
Kessel-Lo Leopold Ruelensstraat,4.7266968,50.8895346
Kessel-Lo Kerkstraat,4.722003,50.8871285
Kessel-Lo Kerkstraat,4.721843,50.8871524
Kessel-Lo Baron August de Becker Remyplein,4.7185494,50.8853038
Kessel-Lo Baron August de Becker Remyplein,4.7179887,50.8848235
Aarschot Sancta Maria,4.8287472,50.983935
Aarschot Kerk,4.8313181,50.9857223
Kortrijk-Dutsel Gemeentehuis,4.805759,50.925867
Nieuwrode Hertstraat,4.8282674,50.9406034
Nieuwrode Hertstraat,4.82843,50.9406
Kortrijk-Dutsel Brouwerij,4.7966232,50.9250853
Holsbeek Dutselhoek,4.7805341,50.9206477
Holsbeek Boomkwekerij,4.76711,50.9205
Holsbeek Daalput,4.74235,50.9154
Leuven Rustoord Remy,4.7058742,50.8738314
Wilsele Zwaaikom,4.7069857,50.8962279
Wilsele Ecowerf,4.7093328,50.9029267
Aarschot Papenakkerstraat,4.8137799,50.9769657
Aarschot Kabien,4.8091661,50.9751806
Aarschot Kabien,4.8060337,50.9741047
Gelrode Carrosserie,4.8007077,50.9718722
Gelrode Statiestraat,4.7904164,50.9670963
Gelrode Statiestraat,4.7896677,50.9668699
Gelrode Zijkerstraat,4.7847759,50.9642638
Gelrode Zijkerstraat,4.7846028,50.9640302
Gelrode Weg naar Betekom,4.7781087,50.9613488
Gelrode Weg naar Betekom,4.7782605,50.9612759
Wezemaal Galgenstraat,4.7701281,50.9579206
Wezemaal Galgenstraat,4.7694889,50.9575294
Wezemaal Wijngaardberg,4.7620973,50.9545067
Wezemaal Wijngaardberg,4.7619828,50.9543176
Wezemaal Vleugtweg,4.7531761,50.9495637
Wezemaal Vleugtweg,4.753372,50.9497117
Wezemaal Langestraat,4.7519439,50.9519803
Wezemaal Langestraat,4.7517962,50.952317
Rotselaar Steenweg op Wezemaal,4.732512,50.9566176
Rotselaar Steenweg op Wezemaal,4.7320902,50.9563926
Rotselaar School,4.7186656,50.9544567
Rotselaar School,4.7185131,50.9544879
Rotselaar Dorp,4.7120243,50.9505554
Rotselaar Dorp,4.7119285,50.9506042
Rotselaar Dorp,4.7109979,50.9498221
Rotselaar Dorp,4.7107135,50.9498018
Rotselaar Molen,4.7042161,50.9480144
Rotselaar Molen,4.7041369,50.9478982
Rotselaar Vrijheidsstraat,4.6935657,50.9426107
Wijgmaal Station,4.7027994,50.9230289
Wijgmaal Station,4.7026899,50.9228155
Leefdaal Hammeveld,4.5720865,50.8489565
Leefdaal Hammeveld,4.5708053,50.8486286
Leefdaal Oud Station,4.5798452,50.8517558
Leefdaal Oud Station,4.578118,50.8512925
Leefdaal Kerk,4.5911552,50.8475092
Leefdaal Veiling,4.5962512,50.8490258
Leefdaal Biesstraat,4.6058394,50.8540219
Leefdaal Kuiperberg,4.6086118,50.856643
Leefdaal Kuiperberg,4.6097058,50.8567963
Bertem Blokkenstraat,4.6212338,50.8600379
Bertem Dottermansstraat,4.6282483,50.8626552
Bertem Dottermansstraat,4.6275195,50.8620811
Bertem Gerzenstraat,4.6362669,50.8650302
Heverlee Toverberg,4.6552255,50.8613877
Heverlee Egenhoven,4.659222,50.8615381
Heverlee Egenhoven,4.6589512,50.8616008
Heverlee Celestijnenlaan,4.68072,50.8641
Heverlee Kasteel Arenberg,4.6821723,50.8611193
Heverlee Kloosterlaan,4.6912019,50.8617043
Heverlee Kloosterlaan,4.6910111,50.8616778
Leuven Naamsepoort,4.6977774,50.8675807
Leuven Naamsepoort,4.6993636,50.868216
