name,lon,lat
Vuile Plas,4.4216755,51.1460615
Mariapark,4.7743335,51.496603
Unnamed,4.1430529,50.4855239
Arboretum de Nismes,4.5465692,50.0710031
Vordenstein,4.4922938,51.2612878
Unnamed,4.1658622,50.4554852
Arbre Pierre,5.0650551,50.6382643
Cotthembos,3.8558483,50.9123283
Unnamed,3.3663595,50.5467896
kasteelpark,2.8255442,50.7819507
Archeologisch park Egmontkasteel,3.8083109,50.8730015
Unnamed,4.7061893,51.1992235
heuvelpark,4.0764602,50.9271824
Unnamed,4.3627024,50.6869055
Landgoed Haelterman,4.1589401,50.9289897
Unnamed,4.7898667,51.3309079
Welkom in het heksenhuis,5.0658826,51.2456178
Unnamed,5.0055934,50.5219987
Troostplek,3.2442421,51.2079855
Arboretum,4.4105778,50.3167875
parc du grand jardin,3.8234533,50.4493958
CRH Loryhan,5.0460336,49.8217698
Unnamed,4.6932665,50.8764568
Multimovepad Kepkensberg,5.106576,51.0827833
Parc de Xhovémont,5.5633016,50.6519697
Parc Le Chat - Résidence Simonis,5.8766845,50.5971752
La Motte aux Mégalithes,4.0814614,50.568445
"Provinciedomein ""Het Vinne""",5.1258896,50.8410262
De Blekerie (mountainbike en cyclocross parcours),3.2884076,51.0623459
Chérimont Adventure Way,5.0477182,50.4931031
Base de loisirs « Dock 79 »,3.7888121,50.4609828
Unnamed,4.6980017,50.9252616
Hondenpark,5.3551421,50.947008
Samentuin De Buurt,4.421345,51.2203916
Project 33,4.1365066,51.1688114
Les Ardentes,5.5481022,50.662515
"Wilde Kruidentuin, plukstuk",4.6388098,50.9698787
Hof Ter Brempt,4.0931941,51.0368191
Square Docteur Capiau,3.8605245,50.4126646
Unnamed,2.7229589,50.8543912
Glacière,4.4996171,50.0615716
Vageweenbos,3.202877,50.9344291
Pater Kapucijnen Park,3.198,50.920912
Unnamed,5.4644714,50.8767748
Minnewaterpark,3.2254219,51.199443
Parc de Bruxelles - Warandepark,4.3636534,50.84458
Middenbermpark,4.7029457,50.8685009
Park 't Loo,5.7028188,50.9715365
Unnamed,4.3858472,50.815409
Jardins de l'Abbaye de la Cambre - Tuinen van de Ter Kamerenabdij,4.3740728,50.8185135
Brilschans,4.4276767,51.1907671
Leeuwerikpark,4.4202148,51.1900458
Stadspark,4.4140657,51.2125048
Koning Albertpark,4.4129022,51.1998754
Boekenbergpark,4.4625736,51.1980044
Rivierenhof,4.4667927,51.2153918
Park Spoor Noord,4.425514,51.2300817
Bouckenborgpark,4.4538579,51.2446278
Harmoniepark,4.4112883,51.2017188
Parc Pierre Paulus - Pierre Pauluspark,4.3482611,50.8288011
Unnamed,3.8373849,50.7055175
Parc Watterman,3.8292152,50.7082731
Unnamed,3.8396798,50.7062227
Parc du Caillou Hubin,3.8427124,50.7040994
Parc de Forest - Park van Vorst,4.3375929,50.822576
Stuivenbergplein,4.4298301,51.2267375
Krugerpark,4.4406328,51.2163495
Unnamed,4.6040739,50.6663567
Parc Forestier - Bospark,4.3106148,50.8412401
Parc de la Boverie,5.5767435,50.6273484
Square Albert Verhaeren - Albert Verhaerensquare,4.3798517,50.8251822
Unnamed,4.3905086,50.8143905
Sint-Donatuspark,4.7036296,50.8756659
Jardin botanique,5.5626109,50.6345618
Parc d'Avroy,5.56854,50.6328993
Unnamed,4.3791196,50.8638024
Unnamed,4.3929829,50.8589497
Square Frère-Orban - Frère-Orbansquare,4.3712011,50.8434912
Square Armand Steurs - Armand Steurssquare,4.3780444,50.8534568
Bois de la Cambre - Ter Kamerenbos,4.3798829,50.8065219
Île Robinson - Robinsoneiland,4.3810712,50.8044866
Parc du Bon Pasteur - Goede Herderspark,4.3970133,50.8811677
Les Terrasses,5.5704048,50.6331147
Les Terrasses,5.5702701,50.6324272
Unnamed,4.4431063,51.2041949
Unnamed,4.2977544,50.8434971
Parc Astrid - Astridpark,4.2982412,50.8330328
Parc du Busselenberg - Busselenbergpark,4.3028421,50.8300192
Hof ter Saksen,4.2386469,51.1994953
Square de la Pede - Pedesquare,4.2974267,50.8274154
Hof Van Leysen,4.4002338,51.1983615
De Villegaspark,4.4251856,51.1944438
Middelheimpark,4.4140596,51.1811606
Nachtegalenpark,4.4106489,51.1828619
Unnamed,3.4210072,50.9955009
Parc Simone de Beauvoir - Simone de Beauvoirpark,4.3448742,50.8460055
Square Marguerite Duras - Marguerite Durassquare,4.3466561,50.8545277
Square du Petit Sablon - Kleine Zavelsquare,4.3565778,50.83951
Parc du Champ de Mars - Marsveldpark,4.3667892,50.8389351
Unnamed,4.3523828,50.8287481
Place Louis Morichar - Louis Moricharplein,4.3483405,50.8272243
Muggenbergpark,4.5030396,51.0923659
Parc Duden - Dudenpark,4.3301824,50.816704
Parc de Wolvendael - Wolvendaelpark,4.3453399,50.7997632
Parc Léopold - Leopoldpark,4.3782976,50.8382792
Unnamed,4.0685734,50.573611
Unnamed,4.0616834,50.5741866
Plaine de Liverpool - Liverpoolplein,4.3323471,50.8446311
Parc de la Rosée - Dauwpark,4.3369393,50.8449612
Parc Albert - Albertpark,4.314896,50.8513141
Parc de Woluwe - Woluwepark,4.427131,50.8282734
Recreatief natuurpark Wolvenberg,4.4252773,51.193262
Unnamed,4.3405201,50.8934299
Parc d'Osseghem - Ossegempark,4.3459722,50.8954219
Square de la Victoire,4.1336182,50.6054079
Square Forte dei Marmi - Forte dei Marmi-plein,4.3798788,50.8354798
Mariapark,4.6866652,50.8752567
Katelijnenhof,4.6985723,50.884665
Park Baron Joly,5.3595296,50.9175485
Unnamed,4.3991261,51.1873549
Parc de la Cathédrale Saints-Michel-et-Gudule - Park voor de Kathedraal Sint-Michiel en Goedele,4.3580456,50.8477403
Het Prieel,4.4442623,51.1888979
Weerstandsplein,3.6937174,51.0547526
Adolf Papeleupark,3.7469661,51.0308096
Park Savelkoul,4.480531,51.1696945
Van Dalepark,4.6988952,50.8751877
't Fort,4.7089333,50.9113365
Jardin de René Pechère - René Pechèretuin,4.362521,50.8510795
Unnamed,4.1050619,50.5657101
Muinkpark,3.7310351,51.0424808
Vrijbroekpark,4.4571529,51.0205479
Plantentuin,4.4063899,51.2143587
Festivalweide Middenvijver,4.3710794,51.2234313
park Hove,4.4771465,51.1446723
Unnamed,4.7049299,50.9251903
Lierse Stadsvesten,4.5745754,51.1351465
Meuterhof,4.6659322,50.9133351
Unnamed,4.6494236,50.9456606
Le Pachis,5.6635362,49.8513946
Noormannenpark,4.6889122,50.8847357
Unnamed,4.4132194,50.8152078
Unnamed,4.4209477,50.8156544
Unnamed,4.4254936,50.8180304
Terrain d'aventure,4.4270325,50.8205756
Parc du Bergoje - Bergojepark,4.4306216,50.8140553
Rouge Cloître - Rood Klooster,4.446088,50.8122163
Parc Parmentier - Parmentierpark,4.4382333,50.8296523
Parc Georges Henri - Georges Henripark,4.4202615,50.8456839
Val d'Or - Gulledelle,4.4305862,50.8527911
Parc Tenbosch - Tenboschpark,4.3647938,50.8199824
Jardin du Roi - Koningstuin,4.3716795,50.8215818
Parc Brugmann - Brugmannpark,4.3507874,50.8093652
Parc Tercoigne - Tercoignepark,4.4034016,50.8133873
Parc Jupiter - Jupiterpark,4.3359044,50.8188552
Unnamed,4.3828882,50.8283202
Parc Félix Hap - Félix Haptuin,4.3860697,50.8344427
Jan van Ruusbroecpark,4.4722441,50.7659436
Veltwijckpark,4.4247347,51.2770985
Unnamed,4.5683087,51.1416971
Altena,4.4505143,51.1389609
Squarepark,4.4215498,51.2577091
Liedermeerspark,3.7454337,51.0149076
Schensbos,4.4002542,51.1066269
Arboretum Kalmthout,4.4630903,51.3931403
Max Wildiersplein,4.5766763,51.292564
Square Georges Marlow - Georges Marlowsquare,4.3401884,50.801484
Square des Héros - Heldensquare,4.3420705,50.8033808
Unnamed,5.386722,51.1488585
Parc des Sources - Ter Bronnenpark,4.436557,50.8351978
Parc Hof ter Musschen - Hof ter Musschenpark,4.4455173,50.8527329
Parc des Étangs Mellaerts - Park van de Mellaertsvijvers,4.4344425,50.8274245
Parc Seny - Senypark,4.4287295,50.8094217
Parc Ten Reuken - Ten Reukenpark,4.4297089,50.8055528
Parc de la Royale Belge - Royale Belgepark,4.4272006,50.8026656
Parc Jagersveld - Jagersveldpark,4.4159293,50.7961418
Étangs de Watermael-Boitsfort - Vijvers van Watermaal-Bosvoorde,4.4157152,50.7912257
