name,lon,lat
Vrije Basisschool Sint-Ursula,4.5753473,51.1481853
Sint-Ludgardis,4.4674755,51.2834489
École Communale,5.4278569,50.5814506
Steinerschool Lohrangrin,4.3873402,51.1785993
Kinderpad,4.6805653,51.137354
Stedelijk Conservatorium Leuven,4.6969209,50.9317145
Montfortschool,4.4745673,51.1275895
Vrije Basisschool Wakkerzeel,4.6785631,50.9557072
De Ceder,4.6169245,51.1507628
Vrije basisschool Heideschool,3.0040802,51.2592035
École fondamentale Achonfosse,4.1952008,50.6974441
Académie de musique François Daneels,4.1888944,50.6736867
't Baeckelandje,4.3677991,51.1717941
Gemeentelijke Basisschool Klimop,4.6348709,50.9581122
Vrije Kleuterschool De Pit,4.6330364,50.959575
Mater Dei - Driehoek,4.5093476,51.3010681
Athénée Chemin de Feluy,4.1458906,50.6047361
Institut Notre Dame de Bonne Espérance,4.1287956,50.6091192
Heilig-Drievuldigheidscollege,4.6988788,50.8772896
Athénée Royal - Implantation des Champs,4.6916644,50.5546997
École Communale,4.6821458,50.55699
d'Oefenschool,3.1256788,51.3099747
Maerlantatheneum,3.1271851,51.3097888
Unnamed,4.9022484,51.1254629
Gemeentelijke Nederlandstalige basisschool,4.3083944,50.9077967
English Academy,4.3914711,50.8361451
Lindekens,4.7444702,51.1748519
École Sainte-Marguerite,4.8907777,50.4720609
Sint Jozef,4.4782688,51.1668109
Vrije Basisschool Braambos,3.7626482,51.1429482
École Communale de Stockel - Gemeenteschool van Stokkel,4.462024,50.84231
Les Tourterelles,4.1635677,50.672495
École communale,4.1571701,50.6721419
École Fédération Wallonie - Bruxelles de Vedrin,4.8781954,50.5038162
Gemeenteschool,4.5964832,51.2122234
Sint-Jozef,4.5484125,50.7973933
École Maternelle,4.4171869,50.8308508
Plaine de jeu communale,4.9040546,50.3535229
Sint-Jozef,4.4332948,50.8351688
Vrije basisschool de Twijg,4.6953747,50.9281719
Krullevaar't,4.7130802,50.9101674
De Oogappel,4.055183,51.0292688
Unnamed,4.5990337,51.2128516
Provinciale Secundaire School,5.7547864,50.7541953
Freinetschool De Zevensprong,4.7028011,50.8822321
Institut Notre-Dame du Sacre Coeur,4.9639153,50.1113336
École Communale de Temploux,4.7484933,50.4824829
École Sainte-Alène,4.3198669,50.8091782
Les Cèdres,4.4048162,50.8097557
GVBS Sint Jozef,4.4637097,51.2526643
Vrije basisschool Jeugdland (Lauw),5.4154334,50.7403445
École Communale de Corroy-le-Château,4.6588484,50.5365536
Klaverdries,3.6568997,51.0516277
Koninklijk Atheneum Grimbergen,4.3663827,50.9317396
Institut provincial de Formation,5.7051174,49.9920089
Sint Maarten Instituut - campus Raffelgem,4.0167728,50.942439
Gemeentelijke basisschool,4.4960229,51.1257565
De Wilg,4.490269,51.1276466
Internat Global Autonome,5.9398975,50.6074892
Centre Educatif Européen,3.2250625,50.743767
Gemeentelijke Basisschool Alken,5.3076731,50.8749947
Vrije Basisschool 't Laantje,5.3077108,50.8745478
Vrije Basisschool,4.6559586,51.0273247
Vrij Katholiek Basisonderwijs,3.202372,50.9764425
Unnamed,3.2009129,50.9754562
Institut Dechamps,4.3328679,50.8234083
École libre de Lonzée,4.724135,50.5530433
Mater Dei Instituut,4.6901768,50.8791626
CLL,4.6101823,50.6710791
Basisschool Zaventem,4.4718489,50.8898631
École Saint-Exupéry,3.1915893,50.7434539
Item,3.2169048,50.7349702
IEPSCF Mouscron-Comines,3.2203577,50.739567
Institut Saint-André Saint-Philippe,4.3807656,50.8210923
Basisschool Krullevaar't,4.7127631,50.9103575
Sint-Pietersinstituut,4.9507186,51.292957
"Gemeentelijke Basisschool ""De Horizon""",2.9370807,51.1741171
