SUMMARY
Performance of the best performing model for different configurations:



With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}, the best Winkler score is obtained at 11% with Winkler score of 334356.76622029644, with accuracy 0.7772853185595567.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}, the best Winkler score is obtained at 14% with Winkler score of 332608.2697314392, with accuracy 0.7595567867036012.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}, the best Winkler score is obtained at 14% with Winkler score of 330835.68278406264, with accuracy 0.7684210526315789.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None}, the best Winkler score is obtained at 11% with Winkler score of 330737.96355823334, with accuracy 0.7662049861495844.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}, the best Winkler score is obtained at 9% with Winkler score of 338268.9309978408, with accuracy 0.7850415512465374.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}, the best Winkler score is obtained at 9% with Winkler score of 345136.5473268423, with accuracy 0.7782086795937212.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None}, the best Winkler score is obtained at 7% with Winkler score of 338081.48474895384, with accuracy 0.7894736842105263.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}, the best Winkler score is obtained at 7% with Winkler score of 356390.0127413688, with accuracy 0.7554939981532779.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}, the best Winkler score is obtained at 5% with Winkler score of 363511.12838962197, with accuracy 0.7835641735918745.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None}, the best Winkler score is obtained at 11% with Winkler score of 330704.5925303985, with accuracy 0.7708217913204063.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}, the best Winkler score is obtained at 11% with Winkler score of 332527.31559315743, with accuracy 0.7852262234533702.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}, the best Winkler score is obtained at 11% with Winkler score of 333925.2440508683, with accuracy 0.7867036011080333.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None}, the best Winkler score is obtained at 11% with Winkler score of 331138.4119740314, with accuracy 0.7601108033240997.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}, the best Winkler score is obtained at 9% with Winkler score of 342995.68529394554, with accuracy 0.7802400738688827.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}, the best Winkler score is obtained at 9% with Winkler score of 344903.08119085716, with accuracy 0.7721144967682364.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None}, the best Winkler score is obtained at 7% with Winkler score of 338081.48474895384, with accuracy 0.7894736842105263.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}, the best Winkler score is obtained at 7% with Winkler score of 356390.0127413688, with accuracy 0.7554939981532779.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}, the best Winkler score is obtained at 5% with Winkler score of 363511.12838962197, with accuracy 0.7835641735918745.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None}, the best Winkler score is obtained at 9% with Winkler score of 334369.1522498561, with accuracy 0.7673130193905817.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}, the best Winkler score is obtained at 9% with Winkler score of 342846.05562081275, with accuracy 0.7645429362880887.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}, the best Winkler score is obtained at 9% with Winkler score of 344589.59428477933, with accuracy 0.765466297322253.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None}, the best Winkler score is obtained at 9% with Winkler score of 336537.1558655449, with accuracy 0.7569713758079409.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}, the best Winkler score is obtained at 7% with Winkler score of 348954.56310082134, with accuracy 0.7846722068328716.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2'}, the best Winkler score is obtained at 7% with Winkler score of 353762.9130646018, with accuracy 0.7752539242843952.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': None}, the best Winkler score is obtained at 7% with Winkler score of 340738.8127942391, with accuracy 0.7771006463527239.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}, the best Winkler score is obtained at 7% with Winkler score of 357589.9990112205, with accuracy 0.7469990766389658.

With specification {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2'}, the best Winkler score is obtained at 5% with Winkler score of 364926.70373043924, with accuracy 0.782825484764543.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}, the best Winkler score is obtained at 1% with Winkler score of 387524.4351442248, with accuracy 0.7163434903047091.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}, the best Winkler score is obtained at 3% with Winkler score of 399604.841765843, with accuracy 0.705078485687904.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}, the best Winkler score is obtained at 3% with Winkler score of 405159.0930580179, with accuracy 0.7023084025854109.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None}, the best Winkler score is obtained at 1% with Winkler score of 381801.41698809795, with accuracy 0.720960295475531.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}, the best Winkler score is obtained at 3% with Winkler score of 399349.7301809526, with accuracy 0.6954755309325946.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}, the best Winkler score is obtained at 1% with Winkler score of 403973.1949448838, with accuracy 0.7800554016620499.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None}, the best Winkler score is obtained at 1% with Winkler score of 378346.4498313127, with accuracy 0.7246537396121884.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}, the best Winkler score is obtained at 1% with Winkler score of 401507.2122766727, with accuracy 0.7765466297322253.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}, the best Winkler score is obtained at 1% with Winkler score of 407563.03115542984, with accuracy 0.765466297322253.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None}, the best Winkler score is obtained at 1% with Winkler score of 385886.067251229, with accuracy 0.7141274238227147.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}, the best Winkler score is obtained at 3% with Winkler score of 399480.35543085187, with accuracy 0.6982456140350877.

With specification {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}, the best Winkler score is obtained at 1% with Winkler score of 405548.027475412, with accuracy 0.7807940904893813.

