Aid,Title,Main Category,Categories,True Main Category,True Categories,Error
http://arxiv.org/abs/2505.16585v1,Expanded regimes of area law for lattice Yang-Mills theories,math.PR,"math.PR,math-ph,math.MP",math.PR,"math.PR,math-ph,math.MP",0.0
http://arxiv.org/abs/2505.16586v1,"A correlation between accretion and outflow rates for Class II Young
  Stellar Objects with full and transition disks",astro-ph.EP,"astro-ph.EP,astro-ph.SR",astro-ph.EP,"astro-ph.EP,astro-ph.SR",0.0
http://arxiv.org/abs/2505.16587v1,"A Survey on the Application of Large Language Models in Scenario-Based
  Testing of Automated Driving Systems",cs.SE,cs.SE,cs.SE,cs.SE,0.0
http://arxiv.org/abs/2505.16588v1,"Computing magnitudes, colours, distances, and absolute magnitudes at any
  signal-to-noise level",astro-ph.IM,astro-ph.IM,astro-ph.IM,astro-ph.IM,0.0
http://arxiv.org/abs/2505.16589v1,"Profinite groups with many elements with large nilpotentizer and
  generalizations",math.GR,math.GR,math.GR,math.GR,0.0
http://arxiv.org/abs/2505.16590v1,"Beyond LLMs: An Exploration of Small Open-source Language Models in
  Logging Statement Generation",cs.SE,"cs.SE,cs.CL,cs.AI",cs.SE,cs.SE,1.0
http://arxiv.org/abs/2505.16591v1,"Evaluating Large Language Model with Knowledge Oriented Language
  Specific Simple Question Answering",cs.CL,cs.CL,cs.CL,cs.CL,0.0
http://arxiv.org/abs/2505.16592v1,"What Media Frames Reveal About Stance: A Dataset and Study about Memes
  in Climate Change Discourse",cs.CL,"cs.CL,cs.MM",cs.CL,"cs.CL,cs.MM",0.0
http://arxiv.org/abs/2505.16593v1,Bochner-Riesz commutators for Grushin Operators,math.AP,"math.AP,math.CA,math.FA",math.AP,math.AP,1.0
http://arxiv.org/abs/2505.16594v1,Temporal Object Captioning for Street Scene Videos from LiDAR Tracks,cs.CV,"cs.CV,cs.LG",cs.CV,"cs.CV,cs.LG",0.0
http://arxiv.org/abs/2505.16595v1,"Stable anisotropic minimal hypersurfaces in $\mathbb{R}^{5}$ and
  $\mathbb{R}^{6}$",math.DG,"math.DG,math.AP",math.DG,math.DG,0.5
http://arxiv.org/abs/2505.16596v1,Safe Uncertainty-Aware Learning of Robotic Suturing,cs.RO,"cs.RO,cs.AI",cs.RO,"cs.RO,cs.AI",0.0
http://arxiv.org/abs/2505.16597v1,"Silver Electrodeposition from Ag/AgCl Electrodes: Implications for
  Nanoscience",cond-mat.mes-hall,"cond-mat.mes-hall,physics.chem-ph",cond-mat.mes-hall,"cond-mat.mes-hall,physics.chem-ph",0.0
http://arxiv.org/abs/2505.16599v1,"Decoupled Geometric Parameterization and its Application in Deep
  Homography Estimation",cs.CV,cs.CV,cs.CV,cs.CV,0.0
http://arxiv.org/abs/2505.16600v1,Major issues in theory of Bose-Einstein condensation,cond-mat.quant-gas,"cond-mat.quant-gas,cond-mat.stat-mech",cond-mat.quant-gas,"cond-mat.quant-gas,cond-mat.stat-mech",0.0
http://arxiv.org/abs/2505.16602v1,"MEgoHand: Multimodal Egocentric Hand-Object Interaction Motion
  Generation",cs.CV,cs.CV,cs.CV,cs.CV,0.0
http://arxiv.org/abs/2505.16603v1,"Lattice study of correlators of chromoelectric fields for heavy
  quarkonium dynamics in the quark-gluon plasma",hep-lat,"hep-lat,hep-ph,nucl-th",hep-lat,"hep-lat,hep-ph,nucl-th",0.0
http://arxiv.org/abs/2505.16604v1,"The chromoelectric adjoint correlators in Euclidean space at
  next-to-leading order",hep-ph,"hep-ph,hep-lat,nucl-th",hep-ph,"hep-ph,hep-lat,nucl-th",0.0
http://arxiv.org/abs/2505.16605v1,Manin triples for double Lie bialgebroids,math.DG,"math.DG,math-ph",math.DG,math.DG,1.0
http://arxiv.org/abs/2505.16606v1,"Fast and high-fidelity transfer of edge states via dynamical control of
  topological phases and effects of dissipation",cond-mat.mes-hall,"cond-mat.mes-hall,cond-mat.stat-mech,quant-ph",cond-mat.mes-hall,"cond-mat.mes-hall,cond-mat.stat-mech,quant-ph",0.0
